label,text
reparar-linha,é consertar o meu telefone
comprar-linha,como faço para ter a linha controle oitenta
reparar-linha,não estou conseguindo fazer uma ligação
comprar-linha,é adquirir uma linha cadeada
reparar-linha,não o problema é o chiado no meu telefone
reparar-linha,quero saber um problema com uma linha
reparar-linha,é fazer o reparo da minha linha telefônica
reparar-linha,como faço para consertar o telefone
mudar-endereco,pedir transferência de endereço
reparar-linha,eu quero saber se este telefone está com defeito ou qualquer coisa que tem é sete
reparar-linha,é conserto de telefone que não está pegando
pagar-conta,queria ver sobre a conta que não tá paga o mês passado e já tá pago
reparar-linha,quero que venha arrumar meu telefone que está uma porcaria só chia
reparar-linha,solicitar reparo de linha
reparar-linha,re reparo na linha telefônica
cancelar-servicos,quero cancelar um pedido um serviço
reparar-linha,a minha linha está com ruídos
reparar-linha,e porque não consigo fazer ligação para lugar nenhum
reparar-linha,gostaria de saber se o meu telefone está bloqueado para
reparar-linha,conserto telefônico
reparar-linha,defeitos na minha linha
reparar-linha,meu o telefone não recebe chamada
pagar-conta,meu telefone não tá fazendo ligação e a contas já tão paga
reparar-linha,reparo da linha de telefone
reparar-linha,minha linha ainda não esta ligada
reparar-linha,o telefone o telefone está com muito chiado agente não está conseguindo nem falar e nem ouvir direito as pessoas
reparar-linha,eu quero reparar é reparação na minha ligação o na minha linha telefônica
reparar-linha,técnico para arrumar linha está chiando
reparar-linha,linha com problema linha com barulho
reparar-linha,não consigo ligar para um cinco cinco sete um oito sete oito meia de fora
pagar-conta,quero pagar as contas
comprar-linha,adquirir linha econômica
reparar-linha,é o meu telefone está com problema
cancelar-servicos,é eu quero cancelar um serviço de terceiros de telefônica
reparar-linha,gostaria de saber porque meu telefone não recebe e não faz chamada
comprar-linha,quero uma linha telefônica fixo
cancelar-servicos,quero cancelar a secretária light
reparar-linha,está desligado o telefone
reparar-linha,não funciona a ligação
reparar-linha,a linha que não funciona
cancelar-servicos,cancelamento de uma ordem de serviço
reparar-linha,manutenção no telefone
pagar-conta,preciso saber porque recebi cobrança pois a minha conta está paga
comprar-linha,desejo pedir uma nova linha
cancelar-conta,cancelar conta
reparar-linha,é porque caiu uma chuva forte aqui e o telefone saiu de comunicação
reparar-linha,é que o meu telefone na nossa rua rua bela vista número cento e quarenta não tem nenhuma linha e botaram fogo na estrada e queimaram o cabo
reparar-linha,reparo para linha
reparar-linha,é fazer pedido de conserto de linha telefônica não dessa de outra linha
reparar-linha,meu telefone fixo não dá linha
reparar-linha,meu telefone não está funcionando está sem linha
mudar-endereco,saber como faço para alterar o número do meu endereço
reparar-linha,o telefone está com mal funcionamento
mudar-endereco,alterar endereço
reparar-linha,telefone está desligado
mudar-endereco,eu gostaria de mudar o endereço
reparar-linha,tirar o telefone residencial ele tá com barulhinho
mudar-endereco,gostaria de colocar novo endereço
cancelar-conta,cancelamento de na conta
reparar-linha,quero reclamar da minha linha telefônica tá trocado o telefone
reparar-linha,como consertar a linha do telefone
mudar-endereco,transferir o meu número de telefone
cancelar-servicos,como faço para tirar a secretária
reparar-linha,o motivo é que meu telefone não está fazendo ligação está com problema
